"","rok","strata","linia"
"1",1989,10,"Buss_Distr"
"2",1989,10,"Buss_Distr"
"3",1989,10,"Buss_Distr"
"4",1989,10,"Buss_Distr"
"5",1989,10,"Buss_Distr"
"6",1989,10,"Buss_Distr"
"7",1989,10,"Buss_Distr"
"8",1989,10,"Buss_Distr"
"9",1989,10,"Buss_Distr"
"10",1990,10,"Buss_Distr"
"11",1990,10,"Buss_Distr"
"12",1990,10,"Buss_Distr"
"13",1990,10,"Buss_Distr"
"14",1990,10,"Buss_Distr"
"15",1991,10,"Buss_Distr"
"16",1991,10,"Buss_Distr"
"17",1991,10,"Buss_Distr"
"18",1991,10,"Buss_Distr"
"19",1991,10,"Buss_Distr"
"20",1991,858.84,"Buss_Distr"
"21",1991,10,"Buss_Distr"
"22",1991,10,"Buss_Distr"
"23",1991,10,"Buss_Distr"
"24",1992,10,"Buss_Distr"
"25",1992,10,"Buss_Distr"
"26",1992,10,"Buss_Distr"
"27",1992,10,"Buss_Distr"
"28",1992,10,"Buss_Distr"
"29",1992,10,"Buss_Distr"
"30",1992,10,"Buss_Distr"
"31",1992,10,"Buss_Distr"
"32",1992,798266.47,"Buss_Distr"
"33",1993,10,"Buss_Distr"
"34",1993,10,"Buss_Distr"
"35",1993,10,"Buss_Distr"
"36",1993,10,"Buss_Distr"
"37",1993,10,"Buss_Distr"
"38",1993,10,"Buss_Distr"
"39",1993,10,"Buss_Distr"
"40",1994,10,"Buss_Distr"
"41",1994,10,"Buss_Distr"
"42",1994,10,"Buss_Distr"
"43",1994,10,"Buss_Distr"
"44",1994,10,"Buss_Distr"
"45",1994,10,"Buss_Distr"
"46",1994,10,"Buss_Distr"
"47",1995,10,"Buss_Distr"
"48",1995,10,"Buss_Distr"
"49",1995,10,"Buss_Distr"
"50",1995,10,"Buss_Distr"
"51",1996,10,"Buss_Distr"
"52",1996,10,"Buss_Distr"
"53",1996,10,"Buss_Distr"
"54",1996,10,"Buss_Distr"
"55",1996,10,"Buss_Distr"
"56",1997,10,"Buss_Distr"
"57",1997,10,"Buss_Distr"
"58",1997,10,"Buss_Distr"
"59",1997,10,"Buss_Distr"
"60",1997,10,"Buss_Distr"
"61",1998,10,"Buss_Distr"
"62",1998,10,"Buss_Distr"
"63",1998,10,"Buss_Distr"
"64",1998,10,"Buss_Distr"
"65",1998,10,"Buss_Distr"
"66",1998,10,"Buss_Distr"
"67",1998,10,"Buss_Distr"
"68",1999,10,"Buss_Distr"
"69",1999,10,"Buss_Distr"
"70",1999,10,"Buss_Distr"
"71",1999,10,"Buss_Distr"
"72",1999,10,"Buss_Distr"
"73",1999,10,"Buss_Distr"
"74",2000,10,"Buss_Distr"
"75",2000,10,"Buss_Distr"
"76",2000,10,"Buss_Distr"
"77",2000,41.95,"Buss_Distr"
"78",2000,10,"Buss_Distr"
"79",2000,10,"Buss_Distr"
"80",2000,10,"Buss_Distr"
"81",2000,10,"Buss_Distr"
"82",2001,10,"Buss_Distr"
"83",2001,10,"Buss_Distr"
"84",2001,10,"Buss_Distr"
"85",2001,10,"Buss_Distr"
"86",2001,10,"Buss_Distr"
"87",2001,228.38,"Buss_Distr"
"88",2002,10,"Buss_Distr"
"89",2002,387.43,"Buss_Distr"
"90",2002,10,"Buss_Distr"
"91",2002,10,"Buss_Distr"
"92",2002,10,"Buss_Distr"
"93",2002,10,"Buss_Distr"
"94",2002,10,"Buss_Distr"
"95",2002,10,"Buss_Distr"
"96",2003,10,"Buss_Distr"
"97",2003,10,"Buss_Distr"
"98",2003,10,"Buss_Distr"
"99",2003,10,"Buss_Distr"
"100",2003,10,"Buss_Distr"
"101",2003,10,"Buss_Distr"
"102",2003,10,"Buss_Distr"
"103",2003,10,"Buss_Distr"
"104",2003,10,"Buss_Distr"
"105",2003,145.11,"Buss_Distr"
"106",2003,63.74,"Buss_Distr"
"107",2004,10,"Buss_Distr"
"108",2004,10,"Buss_Distr"
"109",2004,10,"Buss_Distr"
"110",2004,73.21,"Buss_Distr"
"111",2004,10,"Buss_Distr"
"112",2004,10,"Buss_Distr"
"113",2005,10,"Buss_Distr"
"114",2005,10,"Buss_Distr"
"115",2005,10,"Buss_Distr"
"116",2005,10,"Buss_Distr"
"117",2005,10,"Buss_Distr"
"118",2005,10,"Buss_Distr"
"119",2005,10,"Buss_Distr"
"120",2005,10,"Buss_Distr"
"121",2006,10,"Buss_Distr"
"122",2006,10,"Buss_Distr"
"123",2006,10,"Buss_Distr"
"124",2006,10,"Buss_Distr"
"125",2006,10,"Buss_Distr"
"126",2006,10,"Buss_Distr"
"127",2006,10,"Buss_Distr"
"128",2006,10,"Buss_Distr"
"129",2006,10,"Buss_Distr"
"130",2007,48.38,"Buss_Distr"
"131",2007,10,"Buss_Distr"
"132",2007,10,"Buss_Distr"
"133",2007,389940.93,"Buss_Distr"
"134",2007,10,"Buss_Distr"
"135",2008,10,"Buss_Distr"
"136",2008,10,"Buss_Distr"
"137",2008,10,"Buss_Distr"
"138",2008,10,"Buss_Distr"
"139",2008,10,"Buss_Distr"
"140",2008,10,"Buss_Distr"
"141",2008,10,"Buss_Distr"
"142",2009,7011987.37,"Buss_Distr"
"143",2009,395.18,"Buss_Distr"
"144",2009,10,"Buss_Distr"
"145",2009,10,"Buss_Distr"
"146",2010,10,"Buss_Distr"
"147",2010,10,"Buss_Distr"
"148",2010,10,"Buss_Distr"
"149",2010,10,"Buss_Distr"
"150",2010,3006.03,"Buss_Distr"
"151",2011,10,"Buss_Distr"
"152",2011,10,"Buss_Distr"
"153",2011,10,"Buss_Distr"
"154",2011,10,"Buss_Distr"
"155",2011,10,"Buss_Distr"
"156",2011,10,"Buss_Distr"
"157",2012,10,"Buss_Distr"
"158",2012,10,"Buss_Distr"
"159",2012,10,"Buss_Distr"
"160",2013,10,"Buss_Distr"
"161",2013,10,"Buss_Distr"
"162",2013,10,"Buss_Distr"
"163",2013,10,"Buss_Distr"
"164",2013,10,"Buss_Distr"
"165",2013,10,"Buss_Distr"
"166",2014,10,"Buss_Distr"
"167",2014,10,"Buss_Distr"
"168",2014,10,"Buss_Distr"
"169",2014,10,"Buss_Distr"
"170",2014,10,"Buss_Distr"
"171",2014,10,"Buss_Distr"
"172",2014,12384.06,"Buss_Distr"
"173",2014,10,"Buss_Distr"
"174",2014,10,"Buss_Distr"
"175",2015,1189.64,"Buss_Distr"
"176",2015,10,"Buss_Distr"
"177",2015,10,"Buss_Distr"
"178",2015,10,"Buss_Distr"
"179",2015,10,"Buss_Distr"
"180",2015,10,"Buss_Distr"
"181",2016,10,"Buss_Distr"
"182",2016,10,"Buss_Distr"
"183",2016,10,"Buss_Distr"
"184",2016,10,"Buss_Distr"
"185",2016,115.61,"Buss_Distr"
"186",2016,10,"Buss_Distr"
"187",2017,10,"Buss_Distr"
"188",2017,10,"Buss_Distr"
"189",2017,10,"Buss_Distr"
"190",2017,10,"Buss_Distr"
"191",2017,10,"Buss_Distr"
"192",2017,10,"Buss_Distr"
"193",2017,10,"Buss_Distr"
"194",2018,62.1,"Buss_Distr"
"195",2018,10,"Buss_Distr"
"196",2018,10,"Buss_Distr"
"197",2018,10,"Buss_Distr"
"198",2018,10,"Buss_Distr"
"199",2018,10,"Buss_Distr"
"200",2019,26.11,"Buss_Distr"
"201",2019,10,"Buss_Distr"
"202",2019,10,"Buss_Distr"
"203",2019,10,"Buss_Distr"
"204",2019,139.51,"Buss_Distr"
"205",2020,10,"Buss_Distr"
"206",2020,10,"Buss_Distr"
"207",2020,10,"Buss_Distr"
"208",2020,10,"Buss_Distr"
"209",2020,95719.13,"Buss_Distr"
"210",2020,10,"Buss_Distr"
"211",2020,10,"Buss_Distr"
"212",2020,10,"Buss_Distr"
"213",2021,98.74,"Buss_Distr"
"214",2021,10,"Buss_Distr"
"215",2021,10,"Buss_Distr"
"216",2021,466.86,"Buss_Distr"
"217",2021,10,"Buss_Distr"
"218",2021,10,"Buss_Distr"
"219",2021,10,"Buss_Distr"
"220",2022,10,"Buss_Distr"
"221",2022,10,"Buss_Distr"
"222",2022,205.22,"Buss_Distr"
"223",2022,10,"Buss_Distr"
"224",2022,10,"Buss_Distr"
"225",2022,10,"Buss_Distr"
"226",2022,104.82,"Buss_Distr"
"227",2022,10,"Buss_Distr"
"228",2023,10,"Buss_Distr"
"229",2023,10,"Buss_Distr"
"230",2023,10,"Buss_Distr"
"231",2023,10,"Buss_Distr"
"232",1989,10,"Com_Ban"
"233",1989,10,"Com_Ban"
"234",1989,10,"Com_Ban"
"235",1989,10,"Com_Ban"
"236",1989,10,"Com_Ban"
"237",1989,10,"Com_Ban"
"238",1989,10,"Com_Ban"
"239",1989,10,"Com_Ban"
"240",1989,10,"Com_Ban"
"241",1989,10,"Com_Ban"
"242",1989,10,"Com_Ban"
"243",1989,10,"Com_Ban"
"244",1989,15.3,"Com_Ban"
"245",1989,10,"Com_Ban"
"246",1989,10,"Com_Ban"
"247",1989,10,"Com_Ban"
"248",1989,10,"Com_Ban"
"249",1990,10,"Com_Ban"
"250",1990,10,"Com_Ban"
"251",1990,10,"Com_Ban"
"252",1990,10,"Com_Ban"
"253",1990,10,"Com_Ban"
"254",1990,10,"Com_Ban"
"255",1990,10,"Com_Ban"
"256",1990,10,"Com_Ban"
"257",1990,10,"Com_Ban"
"258",1990,10,"Com_Ban"
"259",1990,10,"Com_Ban"
"260",1990,10,"Com_Ban"
"261",1990,10,"Com_Ban"
"262",1990,124.04,"Com_Ban"
"263",1990,10,"Com_Ban"
"264",1990,10,"Com_Ban"
"265",1991,10,"Com_Ban"
"266",1991,10,"Com_Ban"
"267",1991,10,"Com_Ban"
"268",1991,10,"Com_Ban"
"269",1991,10,"Com_Ban"
"270",1991,10,"Com_Ban"
"271",1991,10,"Com_Ban"
"272",1991,10,"Com_Ban"
"273",1991,10,"Com_Ban"
"274",1991,10,"Com_Ban"
"275",1991,10,"Com_Ban"
"276",1991,10,"Com_Ban"
"277",1991,10,"Com_Ban"
"278",1991,10,"Com_Ban"
"279",1992,10,"Com_Ban"
"280",1992,10,"Com_Ban"
"281",1992,10,"Com_Ban"
"282",1992,10,"Com_Ban"
"283",1992,10,"Com_Ban"
"284",1992,10,"Com_Ban"
"285",1992,10,"Com_Ban"
"286",1992,10,"Com_Ban"
"287",1992,10,"Com_Ban"
"288",1992,10,"Com_Ban"
"289",1992,10,"Com_Ban"
"290",1992,10,"Com_Ban"
"291",1992,10,"Com_Ban"
"292",1992,10,"Com_Ban"
"293",1992,10,"Com_Ban"
"294",1992,10,"Com_Ban"
"295",1992,10,"Com_Ban"
"296",1993,10,"Com_Ban"
"297",1993,10,"Com_Ban"
"298",1993,10,"Com_Ban"
"299",1993,10,"Com_Ban"
"300",1993,10,"Com_Ban"
"301",1993,10,"Com_Ban"
"302",1993,10,"Com_Ban"
"303",1993,10,"Com_Ban"
"304",1993,10,"Com_Ban"
"305",1993,10,"Com_Ban"
"306",1993,10,"Com_Ban"
"307",1993,10,"Com_Ban"
"308",1993,10,"Com_Ban"
